iter	Passed	Remaining
0	59	58983
1	59	29537
2	59	19746
3	59	14856
4	59	11900
5	59	9934
6	60	8531
7	60	7479
8	60	6658
9	60	6001
10	60	5464
11	60	5016
12	61	4637
13	61	4312
14	61	4030
15	61	3784
16	61	3571
17	61	3378
18	62	3205
19	62	3048
20	62	2908
21	62	2780
22	62	2663
23	62	2556
24	62	2456
25	63	2365
26	63	2281
27	63	2203
28	63	2130
29	63	2062
30	63	1998
31	64	1939
32	64	1883
33	64	1830
34	64	1780
35	64	1733
36	64	1688
37	65	1645
38	65	1605
39	65	1566
40	65	1530
41	65	1495
42	65	1462
43	65	1431
44	66	1403
45	66	1374
46	66	1347
47	66	1320
48	66	1295
49	66	1270
50	67	1248
51	67	1225
52	67	1203
53	67	1182
54	67	1162
55	67	1142
56	67	1124
57	68	1105
58	68	1088
59	68	1071
60	68	1054
61	68	1038
62	68	1024
63	69	1009
64	69	995
65	69	981
66	69	967
67	69	954
68	69	941
69	69	928
70	70	916
71	70	904
72	70	893
73	70	881
74	70	871
75	70	860
76	70	850
77	71	840
78	71	830
79	71	820
80	71	811
81	71	802
82	71	794
83	72	785
84	72	777
85	72	768
86	72	760
87	72	751
88	72	743
89	72	736
90	72	729
91	73	721
92	73	714
93	73	707
94	73	700
95	73	694
96	73	687
97	74	681
98	74	675
99	74	669
100	74	663
101	74	657
102	74	652
103	75	647
104	75	642
105	75	636
106	75	631
107	75	626
108	75	620
109	75	614
110	76	609
111	76	604
112	76	599
113	76	594
114	76	590
115	76	585
116	77	581
117	77	576
118	77	571
119	77	567
120	77	563
121	77	558
122	77	554
123	77	550
124	78	546
125	78	542
126	78	538
127	78	535
128	78	531
129	78	527
130	78	523
131	79	519
132	79	516
133	79	512
134	79	509
135	79	505
136	79	502
137	79	499
138	80	496
139	80	492
140	80	489
141	80	486
142	80	483
143	80	480
144	80	477
145	81	474
146	81	471
147	81	468
148	81	465
149	81	463
150	81	460
151	82	457
152	82	454
153	82	452
154	82	449
155	82	446
156	82	444
157	82	441
158	83	439
159	83	436
160	83	434
161	83	431
162	83	429
163	83	426
164	83	424
165	84	422
166	84	419
167	84	417
168	84	415
169	84	413
170	84	411
171	84	409
172	85	406
173	85	404
174	85	402
175	85	400
176	85	398
177	85	396
178	85	394
179	86	392
180	86	390
181	86	388
182	86	386
183	86	384
184	86	382
185	86	380
186	87	378
187	87	376
188	87	374
189	87	372
190	87	371
191	87	369
192	87	367
193	88	366
194	88	364
195	88	362
196	88	360
197	88	359
198	88	357
199	88	355
200	89	354
201	89	352
202	89	350
203	89	349
204	89	347
205	89	346
206	89	344
207	90	342
208	90	341
209	90	340
210	90	338
211	90	337
212	90	335
213	91	334
214	91	332
215	91	331
216	91	329
217	91	328
218	91	326
219	91	325
220	91	324
221	92	322
222	92	321
223	92	320
224	92	318
225	92	317
226	92	316
227	93	314
228	93	313
229	93	312
230	93	311
231	93	309
232	93	308
233	93	307
234	93	305
235	94	304
236	94	303
237	94	302
238	94	300
239	94	299
240	94	298
241	94	297
242	95	296
243	95	295
244	95	294
245	95	292
246	95	291
247	95	290
