iter	Passed	Remaining
0	55	54953
1	55	27571
2	55	18443
3	55	13876
4	56	11149
5	56	9321
6	56	8015
7	56	7036
8	56	6273
9	57	5669
10	57	5170
11	57	4755
12	57	4401
13	58	4098
14	58	3835
15	58	3605
16	58	3402
17	59	3222
18	59	3060
19	59	2915
20	59	2783
21	59	2664
22	60	2556
23	60	2456
24	60	2364
25	60	2279
26	61	2200
27	61	2127
28	61	2057
29	61	1994
30	61	1934
31	62	1878
32	62	1826
33	62	1776
34	62	1729
35	62	1685
36	63	1644
37	63	1605
38	63	1568
39	63	1533
40	64	1498
41	64	1466
42	64	1435
43	64	1406
44	64	1377
45	65	1350
46	65	1325
47	65	1300
48	65	1276
49	65	1253
50	66	1232
51	66	1210
52	66	1190
53	66	1170
54	67	1151
55	67	1133
56	67	1115
57	67	1098
58	67	1082
59	68	1066
60	68	1051
61	68	1037
62	68	1022
63	68	1008
64	69	995
65	69	982
66	69	969
67	69	957
68	70	944
69	70	932
70	70	921
71	70	910
72	70	899
73	71	888
74	71	878
75	71	868
76	71	859
77	71	849
78	72	840
79	72	831
80	72	822
81	72	813
82	72	803
83	72	795
84	73	787
85	73	779
86	73	772
87	73	764
88	73	757
89	74	749
90	74	742
91	74	735
92	74	729
93	74	722
94	75	716
95	75	709
96	75	703
97	75	696
98	75	691
99	76	685
100	76	679
101	76	674
102	76	668
103	76	663
104	77	657
105	77	653
106	77	647
107	77	642
108	78	639
109	78	635
110	78	630
111	78	626
112	79	621
113	79	617
114	79	612
115	79	607
116	79	603
117	80	598
118	80	594
119	80	590
120	80	586
121	80	582
122	81	578
123	81	574
124	81	570
125	81	566
126	81	562
127	82	558
128	82	555
129	82	551
130	82	547
131	82	544
132	83	541
133	83	537
134	83	534
135	83	531
136	83	527
137	83	524
138	84	521
139	84	518
140	84	515
141	84	511
142	84	508
143	85	505
144	85	502
145	85	499
146	85	497
147	85	494
148	86	491
149	86	488
150	86	486
151	86	483
152	86	480
153	87	478
154	87	475
155	87	473
156	87	471
157	87	468
158	88	466
159	88	463
160	88	460
161	88	458
162	88	456
163	89	453
164	89	451
165	89	449
166	89	447
167	89	444
168	90	442
169	90	440
170	90	438
171	90	436
172	90	434
173	91	432
174	91	430
175	91	428
176	91	426
177	92	424
178	92	423
179	92	421
180	92	420
181	93	418
182	93	416
183	93	414
184	93	413
185	94	411
186	94	409
187	94	408
188	94	406
189	94	404
190	95	402
191	95	401
192	95	399
193	95	397
194	95	396
195	96	394
196	96	392
197	96	390
198	96	389
199	96	387
200	97	386
201	97	384
202	97	382
203	97	381
204	97	379
205	98	378
206	98	376
207	98	375
208	98	373
209	98	372
210	99	370
211	99	369
212	99	368
213	99	366
214	99	365
215	100	363
216	100	362
217	100	360
218	100	359
219	100	357
220	101	356
221	101	355
222	101	353
223	101	352
224	101	350
225	102	349
226	102	348
227	102	347
228	102	346
229	103	344
230	103	343
231	103	342
232	103	341
233	103	340
234	104	338
235	104	337
236	104	336
237	104	335
238	104	333
239	105	332
240	105	331
241	105	330
242	105	329
243	105	328
244	106	327
245	106	325
246	106	324
247	106	323
248	107	322
249	107	321
250	107	320
251	107	319
252	107	318
253	108	317
254	108	316
255	108	316
256	108	315
257	109	314
258	109	313
259	109	312
260	110	311
261	110	311
262	110	310
263	110	309
264	111	307
265	111	306
266	111	305
267	111	304
268	111	303
269	112	302
270	112	301
271	112	300
272	112	299
273	112	298
274	113	297
275	113	296
276	113	295
277	113	294
278	113	294
279	113	293
280	114	292
281	114	291
282	114	290
283	114	289
284	115	288
285	115	287
286	115	286
287	115	286
288	115	285
289	116	284
290	116	283
291	116	282
292	116	281
293	116	280
294	117	279
295	117	278
296	117	277
297	117	277
298	117	276
299	118	275
300	118	274
301	118	273
302	118	272
303	118	272
304	119	271
305	119	270
306	119	269
307	119	268
308	119	268
309	120	267
310	120	266
311	120	265
312	120	264
313	120	264
314	121	263
315	121	262
316	121	262
317	121	261
318	122	260
319	122	260
320	122	259
321	122	258
322	122	257
323	123	257
324	123	256
325	123	255
326	123	255
327	124	254
328	124	253
329	124	253
330	124	252
331	125	251
332	125	250
333	125	250
334	125	249
335	125	248
336	125	247
337	126	247
338	126	246
339	126	245
340	126	244
341	126	244
342	127	243
343	127	242
344	127	242
345	127	241
346	127	240
347	128	240
348	128	239
349	128	238
350	128	237
351	128	237
352	129	236
353	129	235
354	129	235
355	129	234
356	129	233
357	130	233
358	130	232
359	130	231
360	130	231
361	130	230
362	131	230
363	131	229
364	131	229
365	131	228
366	132	227
367	132	227
368	132	226
369	132	225
370	132	225
371	133	224
372	133	224
373	133	223
374	133	222
375	133	222
376	134	221
377	134	220
378	134	220
379	134	219
380	134	219
381	135	218
382	135	217
383	135	217
384	135	216
385	135	216
386	136	215
387	136	215
388	136	214
389	136	213
390	136	213
391	137	212
392	137	212
393	137	211
394	137	210
395	137	210
396	138	209
397	138	209
398	138	208
399	138	208
400	138	207
401	139	206
402	139	206
403	139	205
404	139	205
405	139	204
406	139	203
407	140	203
408	140	202
409	140	202
410	140	201
411	140	201
412	141	200
413	141	200
414	141	199
415	141	198
416	141	198
417	142	197
418	142	197
419	142	196
420	142	196
421	143	195
422	143	195
423	143	194
424	143	194
425	143	193
426	144	193
427	144	192
428	144	192
429	144	191
430	144	191
431	145	190
432	145	190
433	145	189
434	145	189
435	145	188
436	146	188
437	146	187
438	146	187
439	146	186
440	146	186
441	147	185
442	147	185
443	147	184
444	147	184
445	147	183
446	148	183
447	148	182
448	148	182
449	148	181
450	149	181
451	149	180
452	149	180
453	149	179
454	149	179
455	149	178
456	150	178
457	150	177
458	150	177
459	150	177
460	150	176
461	151	176
462	151	175
463	151	175
464	151	174
465	152	174
466	152	173
467	152	173
468	152	172
469	152	172
470	153	171
471	153	171
472	153	170
473	153	170
474	153	170
475	154	169
476	154	169
477	154	168
478	154	168
479	154	167
480	155	167
481	155	166
482	155	166
483	155	165
484	155	165
485	156	165
486	156	164
487	156	164
488	156	163
489	156	163
490	157	162
491	157	162
492	157	162
493	157	161
494	157	161
495	158	160
496	158	160
497	158	159
498	158	159
499	158	158
500	159	158
501	159	158
502	159	157
503	159	157
504	159	156
505	160	156
506	160	155
507	160	155
508	160	155
509	161	154
510	161	154
511	161	153
512	161	153
513	161	153
514	162	152
515	162	152
516	162	151
517	162	151
518	162	150
519	163	150
520	163	150
521	163	149
522	163	149
523	163	148
524	164	148
525	164	148
526	164	147
527	164	147
528	164	146
529	165	146
530	165	145
531	165	145
532	165	145
533	165	144
534	165	144
535	166	143
536	166	143
537	166	143
538	166	142
539	166	142
540	167	141
541	167	141
542	167	141
543	167	140
544	168	140
545	168	139
546	168	139
547	168	139
548	168	138
549	169	138
550	169	137
551	169	137
552	169	137
553	169	136
554	170	136
555	170	135
556	170	135
557	170	135
558	170	134
559	170	134
560	171	133
561	171	133
562	171	133
563	171	132
564	171	132
565	172	132
566	172	131
567	172	131
568	172	130
569	173	130
570	173	130
571	173	129
572	173	129
573	173	128
574	174	128
575	174	128
576	174	127
577	174	127
578	174	127
579	174	126
580	175	126
581	175	125
582	175	125
583	175	125
584	176	124
585	176	124
586	176	124
587	176	123
588	176	123
589	177	123
590	177	122
591	177	122
592	177	121
593	177	121
594	178	121
595	178	120
596	178	120
597	178	120
598	178	119
599	178	119
600	179	118
601	179	118
602	179	118
603	179	117
604	179	117
605	180	117
606	180	116
607	180	116
608	180	115
609	180	115
610	181	115
611	181	114
612	181	114
613	181	114
614	181	113
615	182	113
616	182	113
617	182	112
618	182	112
619	182	112
620	183	111
621	183	111
622	183	111
623	183	110
624	183	110
625	184	109
626	184	109
627	184	109
628	184	108
629	184	108
630	185	108
631	185	107
632	185	107
633	185	107
634	186	106
635	186	106
636	186	106
637	186	105
638	186	105
639	186	105
640	187	104
641	187	104
642	187	104
643	187	103
644	187	103
645	188	103
646	188	102
647	188	102
648	188	102
649	188	101
650	189	101
651	189	101
652	189	100
653	189	100
654	189	100
655	190	99
656	190	99
657	190	99
658	190	98
659	190	98
660	191	98
661	191	97
662	191	97
663	191	97
664	191	96
665	192	96
666	192	96
667	192	95
668	192	95
669	192	95
670	193	94
671	193	94
672	193	94
673	193	93
674	193	93
675	194	93
676	194	92
677	194	92
678	194	92
679	194	91
680	195	91
681	195	91
682	195	90
683	195	90
684	195	90
685	196	89
686	196	89
687	196	89
688	196	88
689	196	88
690	197	88
691	197	87
692	197	87
693	197	87
694	197	86
695	198	86
696	198	86
697	198	85
698	198	85
699	198	85
700	199	84
701	199	84
702	199	84
703	199	83
704	199	83
705	200	83
706	200	82
707	200	82
708	200	82
709	200	82
710	201	81
711	201	81
712	201	81
713	201	80
714	201	80
715	202	80
716	202	79
717	202	79
718	202	79
719	202	78
720	203	78
721	203	78
722	203	77
723	203	77
724	204	77
725	204	77
726	204	76
727	204	76
728	204	76
729	205	75
730	205	75
731	205	75
732	205	74
733	205	74
734	206	74
735	206	74
736	206	73
737	206	73
738	206	73
739	207	72
740	207	72
741	207	72
742	207	71
743	207	71
744	208	71
745	208	70
746	208	70
747	208	70
748	208	69
749	209	69
750	209	69
751	209	69
752	209	68
753	209	68
754	210	68
755	210	67
756	210	67
757	210	67
758	210	66
759	211	66
760	211	66
761	211	66
762	211	65
763	211	65
764	211	65
765	212	64
766	212	64
767	212	64
768	212	63
769	212	63
770	213	63
771	213	63
772	213	62
773	213	62
774	213	62
775	214	61
776	214	61
777	214	61
778	214	60
779	214	60
780	215	60
781	215	60
782	215	59
783	215	59
784	215	59
785	216	58
786	216	58
787	216	58
788	216	57
789	216	57
790	216	57
791	217	57
792	217	56
793	217	56
794	217	56
795	218	55
796	218	55
797	218	55
798	218	54
799	218	54
800	218	54
801	219	54
802	219	53
803	219	53
804	219	53
805	219	52
806	219	52
807	220	52
808	220	51
809	220	51
810	220	51
811	220	51
812	220	50
813	221	50
814	221	50
815	221	49
816	221	49
817	221	49
818	221	49
819	222	48
820	222	48
821	222	48
822	222	47
823	223	47
824	223	47
825	223	47
826	223	46
827	223	46
828	223	46
829	224	45
830	224	45
831	224	45
832	224	45
833	224	44
834	225	44
835	225	44
836	225	43
837	225	43
838	225	43
839	226	43
840	226	42
841	226	42
842	226	42
843	227	41
844	227	41
845	227	41
846	227	41
847	227	40
848	228	40
849	228	40
850	228	40
851	228	39
852	228	39
853	229	39
854	229	38
855	229	38
856	229	38
857	229	38
858	230	37
859	230	37
860	230	37
861	230	36
862	230	36
863	231	36
864	231	36
865	231	35
866	231	35
867	231	35
868	231	34
869	232	34
870	232	34
871	232	34
872	233	33
873	233	33
874	233	33
875	233	33
876	233	32
877	233	32
878	234	32
879	234	31
880	234	31
881	234	31
882	234	31
883	235	30
884	235	30
885	235	30
886	235	30
887	235	29
888	236	29
889	236	29
890	236	28
891	236	28
892	236	28
